"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-12-02 10:03:42",1764669822746,"learnix-oyum.vercel.app/auth/me","GET","",401,"bhbjd-1764669822638-234f06665f7c","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",6,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF895RTRM9T2YRHR9NMVQ9B","uZrjCJk0LHO4",1
"2025-12-02 10:03:38",1764669818885,"learnix-oyum.vercel.app/auth/me","GET","",401,"5xpqv-1764669818448-213c20b55098","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",11,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF8920584GMFCZH9P9E2C1X","uZrjCJk0LHO4",1
"2025-12-02 10:03:38",1764669818089,"learnix-oyum.vercel.app/auth/me","GET","",401,"xs5gq-1764669817977-ca01e867bed3","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",7,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF891794EEX4ZPEZK5G44TR","uZrjCJk0LHO4",1
"2025-12-02 10:03:37",1764669817802,"learnix-oyum.vercel.app/auth/me","GET","",401,"kfzjc-1764669817438-0f2a38becbdd","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",42,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF890YA0934PZYBW4SY5G3W","uZrjCJk0LHO4",1
"2025-12-02 10:03:34",1764669814848,"learnix-oyum.vercel.app/auth/google/callback","GET","code=4%2F0Ab32j90vli4THSHo9t0u-HK7SkCxzYRxRL2afZgvdBL2-BT9n8p47jmugGMwHt1382Mo4g&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none",307,"tc4ch-1764669814704-26eae8453b60","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",1926,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF88Y20AYR2J45BW5WBFBHP","uZrjCJk0LHO4",1
"2025-12-02 10:03:30",1764669810460,"learnix-oyum.vercel.app/auth/google","GET","",302,"tc4ch-1764669810341-e939e96918b0","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",4,"iad1",144,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF88QDMP9TECCAQ224N030K","uZrjCJk0LHO4",2
"2025-12-02 10:03:28",1764669808052,"learnix-oyum.vercel.app/courses","GET","limit=6&sort=date&order=DESC",200,"9hpjx-1764669807676-d1458be53e30","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",2582,"iad1",205,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF88QDMP9TECCAQ224N030K","uZrjCJk0LHO4",2
"2025-12-02 10:03:28",1764669808045,"learnix-oyum.vercel.app/courses/tags","GET","",200,"tc4ch-1764669807677-0c51eaade17a","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",1824,"iad1",204,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF88QDDRK9CHHSX9W57AZ79","rAv7IMC3wbMW",1
"2025-12-02 10:03:27",1764669807915,"learnix-oyum.vercel.app/auth/me","GET","",401,"6vc6g-1764669807236-c82657a5c05c","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api","learnix-oyum.vercel.app","learnix-oyum.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",38,"iad1",204,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF88Q9BERSYB6APBPQBTHYZ","rAv7IMC3wbMW",1
"2025-12-02 10:02:47",1764669767668,"learnix-backend-ehlmhjq11-ho-phuoc-hoans-projects.vercel.app/favicon.png","GET","",404,"hbmfw-1764669767612-784adb926436","vercel-favicon/1.0","warning","production","main","","lambda","/api","learnix-backend-ehlmhjq11-ho-phuoc-hoans-projects.vercel.app","learnix-backend-ehlmhjq11-ho-phuoc-hoans-projects.vercel.app","dpl_A2GFbUH3FyAsNdhfNjwjtpTjNRZG",6,"iad1",204,2048,"","prj_okfpKFPrP1MYzz11Qeg2WQ1RAudi","","","01KBF87FZMFB3RK0NZH7Q5MVV4","rAv7IMC3wbMW",1
